id,created_at,created_by,updated_at,updated_by,job_code,job_title,job_level_description,status,id_company,offer_title,offer_desc,hiring_model,division,dynamic_variables,id_rate_method,id_business_unit,id_client,type,offer_header,offer_footer
4,2023-08-10 06:30:42,1,,,!         ,QC Admin                                               ,LVL1                                                                                                                                                                                                                                                           ,Y,1,,,87,8,,"0","0","0","0",,
3243,2023-08-10 06:30:47,1,,,WSCLK     ,Warehouse Shift Clerk                                  ,LVL1                                                                                                                                                                                                                                                           ,Y,1,,,87,8,,"0","0","0","0",,
3248,2023-08-10 06:30:47,1,,,YBADV     ,YSL Beauty Advisor                                     ,LVL1                                                                                                                                                                                                                                                           ,Y,1,,,87,8,,"0","0","0","0",,
3249,2023-08-10 06:30:47,1,,,YSLCM     ,YSL Counter Manager                                    ,LVL1                                                                                                                                                                                                                                                           ,Y,1,,,87,8,,"0","0","0","0",,
3252,2023-10-02 17:04:05,1,,,TOBEDCIDE ,To Be Decided                                          ,To Be Decided                                                                                                                                                                                                                                                  ,N,"0",,,"0","0",,"0","0","0","0",,
3421,2023-11-23 13:23:22,1,,,,,,Y,1,Offer_Letter_Monthly_AIQU_AUH_3387                                                                  ,"<style type=""text/css"">
    @font-face {
        font-family: ""TimesNewRoman"";
        src: url(""https://exalogic-store.s3.us-east-2.amazonaws.com/tasc/templates/font/times-new-roman/times-new-roman-bold.ttf"") format(""truetype"");
        font-weight: bold;
        font-style: normal;
        font-display: swap;
    }
    @font-face {
        font-family: ""TimesNewRoman"";
        src: url(""https://exalogic-store.s3.us-east-2.amazonaws.com/tasc/templates/font/times-new-roman/times-new-roman.ttf"") format(""truetype"");
        font-weight: normal;
        font-style: normal;
        font-display: swap;
    }
    @font-face {
        font-family: ""TimesNewRoman"";
        src: url(""https://exalogic-store.s3.us-east-2.amazonaws.com/tasc/templates/font/times-new-roman/times-new-roman-italic.ttf"") format(""truetype"");
        font-weight: normal;
        font-style: italic;
        font-display: swap;
    }
    @font-face {
        font-family: ""TimesNewRoman"";
        src: url(""https://exalogic-store.s3.us-east-2.amazonaws.com/tasc/templates/font/times-new-roman/times-new-roman-bold-italic.ttf"") format(""truetype"");
        font-weight: bold;
        font-style: italic;
        font-display: swap;
    }
</style>
<!-- Header -->
<div style=""width: 100%;"">
    <img src=""/home/vcap/app/htdocs/uploads/images/aiqu-logo-bold.png"" alt=""aiqu-logo-bold"" height=""50"">
</div>
<br><br><br>
<!-- Body -->
<table cellpadding=""5"" cellspacing=""0"" style=""
   width: 100%;
   font-weight:normal;
   font-family: 'TimesNewRoman';
   font-size: 14px;
   "">
    <tbody><tr>
        <td style=""padding-bottom: 20px"">
            <table cellpadding=""3"" cellspacing=""0"" style=""
            width: 100%;
            font-size: 14px;
            font-family: 'TimesNewRoman';
            "">
                <tbody><tr>
                    <td style=""width: 30%;"">Date </td>
                    <td style=""width: 70%;""><strong>: {Date}</strong></td>
                </tr>
                <tr>
                    <td style=""width: 30%;"">Employee Number</td>
                    <td style=""width: 70%;""><strong>: {Applicant Id}</strong></td>
                </tr>
                <tr>
                    <td style=""width: 30%;"">Name </td>
                    <td style=""width: 70%;""><strong>: {FullName}</strong></td>
                </tr>
                <tr>
                    <td style=""width: 30%;"">Contact Number </td>
                    <td style=""width: 70%;""><strong>: {Mobile Number}</strong></td>
                </tr>
                <tr>
                    <td style=""width: 30%;""> Email Id </td>
                    <td style=""width: 70%;""><strong>: {Email Id}</strong></td>
                </tr>
            </tbody></table>
        </td>
    </tr>
    <tr>
        <td style=""text-decoration: underline;padding-top: 15px;padding-bottom: 15px; font-size:18px"">
            <strong> Subject : You’ve got the job! </strong>
        </td>
    </tr>
    <tr>
        <td>
            Dear <strong>{First Name}</strong>,
        </td>
    </tr>
    <tr>
        <td>
            Congratulations!
        </td>
    </tr>
    <tr>
        <td>
            You have been selected as a <strong>{PositionDescription}</strong>
            for <strong>{ClientName}</strong>. We’re delighted to extend this offer to you!
        </td>
    </tr>
    <tr>
        <td>
            This letter contains terms and conditions of your potential employment.
        </td>
    </tr>
    <tr>
        <td style=""padding-bottom: 15px;font-size: 16px;padding-top:15px"">
            <strong> New job, new adventure - here is the fun stuff! </strong>
        </td>
    </tr>

    <tr>
        <td>
        <table cellpadding=""5"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">1.</td>    
                <td>
                    <b>Expected Date of Joining : {Expected Date}</b> The actual joining date will be dependent on receipt of your work permit / Visa after which your joining date will be confirmed to you. 
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
    <tr>
        <td>
        <table cellpadding=""5"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">2.</td>    
                <td>
                    <b>Visa Sponsor : {Visa Sponcer} (“AIQU”)</b> 
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
    <tr>
        <td>
        <table cellpadding=""5"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">3.</td>    
                <td>
                    <b>Work Location : {WorkLocationDescription}</b><br>
                    <b>Please Note</b> : You will be outsourced to work for AIQU’s client under the client Supervision.
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
    <tr>
        <td>
        <table cellpadding=""5"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">4.</td>    
                <td>
                    <b>Probation : {Period}</b> months  
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
    <tr>
        <td>
        <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">5.</td>    
                <td>
                <b>Wage :</b> Monthly salary of <b>AED {Totals}</b><br><br>
                <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-family: 'TimesNewRoman'; font-size: 14px;"">
                    <tbody><tr>
                        <td style=""width: 30%;"">a. Basic Wage</td>
                        <td>: <b>AED {BASIC}</b></td>
                    </tr>
                    <tr>
                        <td>b. HRA</td>
                        <td>: <b>AED {HRA}</b></td>
                    </tr>
                    <tr>
                        <td>c. Transport</td>
                        <td>: <b>AED {TRANSPORT}</b></td>
                    </tr>
                    <tr>
                        <td>d. Utilities</td>
                        <td>: <b style=""text-decoration: underline;"">AED {UTILITIES}</b></td>
                    </tr>
                    <tr>
                        <td><b>Total</b></td>
                        <td>: <b>AED {Totals}</b></td>
                    </tr>
                </tbody></table><br><br>
                Salary is calculated based on client approved timesheets. 
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
    <tr>
        <td>
        <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">6.</td>    
                <td>
                    <b>Perks &amp; Benefits :</b><br><br>
                    <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
                    <tbody><tr>
                        <td valign=""top"" style=""width:3%;"">a.</td>    
                        <td>Dedicated E-Care (Employee Care) team for HR related assistance.</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">b.</td>        
                        <td>AIDA, WhatsApp AI assistant, for prompt support on queries around payslip, leave balance and letter requests - +914466534488 </td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">c.</td>    
                        <td> Annual leave of <b>{Entitlement_Unit}</b> &amp; worked days of  <b>{Workeddays}</b> as per UAE Labour Law. Unused leaves will be encashed or carried forward as per client’s policy. The client reserves the right to determine the time of your leave by providing you with due notice as per UAE labour law. </td>
                    </tr> 
                    <tr>
                        <td valign=""top"" style=""width:3%;"">d.</td>    
                        <td>Sick leaves as per UAE Labour Law, subject to medical certificate issued by an authorized source as per the guidelines of the concerned health authority </td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">e.</td>    
                        <td>Other leaves as per UAE labour law subject to provision of supporting documents. For instance- bereavement leave, parental leave etc.</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">f.</td>    
                        <td>End of service gratuity as per UAE Labour Law .</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">g.</td>    
                        <td>Incentives and bonuses as per client’s discretion.</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">h.</td>    
                        <td>Medical Insurance for <b>{medical_category}</b> under TASC’s Group Insurance Policy, upon completion of medical test. If you are on labour card, then medical insurance will be applicable after receiving your work permit.</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">i.</td>    
                        <td>Air ticket (Economy Class) to home country once every <b>{AirTicketYears}</b> limited to a maximum amount of AED <b>{AirTicketAmount}</b> </td>
                    </tr>
                    </tbody></table>
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
    <tr>
        <td style=""padding-bottom: 15px;padding-top:15px;font-size: 16px;"">
            <strong> Little bit of paperwork, lots of trust - here is what we require! </strong>
        </td>
    </tr>
    <tr>
        <td>
        <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">1.</td>    
                <td>
                    <b>Documents &amp; Clearance :</b><br><br>
                    This Offer Letter is subject to receipt of various documents and clearances, as listed below:<br>
                    <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
                    <tbody><tr>
                        <td valign=""top"" style=""width:3%;"">a.</td>    
                        <td>Signed Non-Disclosure Agreement provided by AIQU</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">b.</td>        
                        <td>Police clearance certificate issued from the UAE, if required</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">c.</td>    
                        <td>Two satisfactory reference checks</td>
                    </tr> 
                    <tr>
                        <td valign=""top"" style=""width:3%;"">d.</td>    
                        <td>Attested educational certificate and credentials, if required</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">e.</td>    
                        <td>Successful CID clearance, if required </td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">f.</td>    
                        <td>Medical fitness certificate from a government authority.</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">g.</td>    
                        <td>Visa and legal entry permit by the UAE Ministry of Labour and immigration authorities.</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">h.</td>    
                        <td>Offer of services from the client. If the client’s offer is withdrawn prior to issuing your visa then AIQU can withdraw the offer without any financial compensation</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">i.</td>    
                        <td>Any individual overstays fine / Penalties imposed by UAE MOHRE, Immigration, should be cleared prior to visa process</td>
                    </tr>
                    </tbody></table>
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>

    <tr>
        <td>
        <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">2.</td>    
                <td>
                    <b>Personal Information :</b><br><br>
                    <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
                    <tbody><tr>
                        <td valign=""top"" style=""width:3%;"">a.</td>    
                        <td>Any personal information provided to AIQU will be stored on a cloud-based business application and will be used solely for securing your employment</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">b.</td>        
                        <td>Your personal information is safeguarded and protected, however, since no data transmission over internet can be guaranteed to be 100% secure, AIQU will not be liable for any exposure of information from security risks such as viruses and unauthorized use</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">c.</td>    
                        <td>Your personal data is shared with the client and you consent to such disclosure and sharing</td>
                    </tr> 
                    <tr>
                        <td valign=""top"" style=""width:3%;"">d.</td>    
                        <td>You can request TASC to erase your personal data. However, TASC reserves the right to save a copy of your personal data for legal purposes or archival purposes. If you request TASC to erase your personal data, this may affect your employment with TASC and TASC reserves the right to terminate your employment</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">e.</td>    
                        <td>TASC reserves the right to disclose and share your personal data with any statutory authorities or with a court pursuant to a legal process initiated against you or against TASC with respect to you and such disclosure and sharing does not require your consent</td>
                    </tr>
                    </tbody></table>
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
    <tr>
        <td>
        <table cellpadding=""5"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">3.</td>    
                <td>
                    <b>Non-Disclosure Agreement :</b><br><br>
                    By signing this agreement, you agree to keep all information related to AIQU, its businesses, and finances confidential
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
    <tr>
        <td style=""padding-bottom: 15px;padding:15px;font-size: 16px;"">
            <strong>Greater the power, greater the responsibility - here is what you should know!</strong>
        </td>
    </tr>
    <tr>
        <td>
        <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">1.</td>    
                <td>
                    <b>General Conditions :</b><br><br>
                    <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
                    <tbody><tr>
                        <td valign=""top"" style=""width:3%;"">a.</td>    
                        <td>Employment becomes operative only when you first report to the client office </td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">b.</td>        
                        <td>Your day to day responsibilities will be assigned and supervised by the client directly</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">c.</td>    
                        <td>You are expected to follow all rules and regulations laid down by the client</td>
                    </tr> 
                    <tr>
                        <td valign=""top"" style=""width:3%;"">d.</td>    
                        <td>It is recommended that you apply for travel insurance or continue your existing insurance till AIQU applies for your medical insurance</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">e.</td>    
                        <td>Any appearance or summons to appear at any criminal court, or for any criminal conviction or civil order, prior to or during the period of your employment has to be reported to AIQU </td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">f.</td>    
                        <td>This contract shall be governed and interpreted in accordance with the laws of UAE </td>
                    </tr>
                    </tbody></table>
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
    <tr>
        <td>
        <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">2.</td>    
                <td>
                    <b>Absenteeism :</b><br><br>
                    <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
                    <tbody><tr>
                        <td valign=""top"" style=""width:3%;"">a.</td>    
                        <td>Leaves during probation are unpaid leaves.</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">b.</td>        
                        <td>7 consecutive or 20 non-consecutive days of absenteeism without prior written permission could lead to termination without notice</td>
                    </tr>
                    </tbody></table>
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
    <tr>
        <td>
        <table cellpadding=""5"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">3.</td>    
                <td>
                    <b>Outside Occupation :</b><br><br>
                    Pursuit of alternate occupation is prohibited unless approved by AIQU in writing. On termination/resignation of your employment with TASC, you are prohibited from working with any competitor of TASC’s client in UAE including Free-zone areas in a role similar to or the same as what you are performing in client and you cannot contact or deal with any client of TASC for one year.
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
    <tr>
        <td>
        <table cellpadding=""5"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">4.</td>    
                <td>
                    <b>Fraud or Negligence :</b><br><br>
                    <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
                        <tbody><tr>
                            <td valign=""top"" style=""width:3%;"">a.</td>    
                            <td>If there is an allegation of misconduct, criminal act, act of disobedience, insobriety or insubordination; employment will be terminated without notice and end of service benefits </td>
                        </tr>
                        <tr>
                            <td valign=""top"" style=""width:3%;"">b.</td>        
                            <td>False or misleading information will lead to immediate termination </td>
                        </tr>
                        </tbody></table>                   
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
    <tr>
        <td style=""font-size: 16px;padding-bottom:15px;padding-top:15px"">
            <strong> Building partnerships, achieving milestones - here are some pointers!</strong>
        </td>
    </tr>

    <tr>
        <td>
        <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">1.</td>    
                <td>
                    <div style=""font-weight:bold""> Period &amp; Termination<u> during probation: :</u></div><br><br>
                    <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
                    <tbody><tr>
                        <td valign=""top"" style=""width:3%;"">a.</td>    
                        <td>You can terminate your services by giving <b>{Notice_Period_prb}</b>&nbsp;notice</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">b.</td>        
                        <td>AIQU may deduct equivalent salary if no prior notice has been given by you</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">c.</td>        
                        <td> AIQU can terminate your services with or without cause by giving  <b>{Notice_Period_prb}</b> notice</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">d.</td>        
                        <td>Post resignation/termination, you must return all materials and properties belonging to the client and AIQU or pay financial damages instead.</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">e.</td>  
                        <td>
                        If you choose to join another employer during the probation period, you shall ensure that your new employer pay to TASC all recruitment and on-boarding charges incurred by TASC with respect to your onboarding
                        </td>
                    </tr>
                    </tbody></table>
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
    <tr>
        <td>
        <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">2.</td>    
                <td>
                    <div style=""font-weight: bold;""> Period &amp; Termination <u> after probation: :</u></div><br><br>
                    <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
                    <tbody><tr>
                        <td valign=""top"" style=""width:3%;"">a.</td>    
                        <td>You can terminate your services by giving <b>{Notice_Period}</b> days’ notice</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">b.</td>        
                        <td>AIQU may deduct equivalent salary, if no prior notice has been given by you</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">c.</td>        
                        <td>AIQU may terminate services by giving <b>{Notice_Period}</b> days’ notice unless any of your activities fall within Article 44 of the prevalent UAE labour law</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">d.</td>        
                        <td>Post resignation/termination, you must return all materials and properties belonging to the client and AIQU or pay financial damages instead</td>
                    </tr>
                    </tbody></table>
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
    <tr>
        <td style=""padding-bottom: 20px;font-size: 14px;"">
            <strong>We look forward to having you onboard with us. Sign this offer letter and let’s get you started soon! </strong>
        </td>
    </tr>
    <tr>
        <td>
        <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
            <tbody><tr>
                <td valign=""top"" style=""width:3%;"">1.</td>    
                <td>
                    <strong>Declaration</strong><br><br>
                    I agree and acknowledge:<br>
                    <table cellpadding=""3"" cellspacing=""0"" style=""width: 100%;font-size:14px;font-family: 'TimesNewRoman';"">
                    <tbody><tr>
                        <td valign=""top"" style=""width:3%;"">a.</td>    
                        <td>To keep information related to AIQU and its clients confidential and private </td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">b.</td>        
                        <td>I am legally entitled to work, without any legal restriction imposed on me by any current or former employer </td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">c.</td>        
                        <td>I have no criminal records in the country of my origin or the UAE </td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">d.</td>        
                        <td>I am accountable to inform AIQU of my change in social status</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">e.</td>        
                        <td>That these conditions are in addition to those specified in the UAE Labour contract </td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">f.</td>        
                        <td>That this offer of employment may be revoked at AIQU’s discretion at any time</td>
                    </tr>
                    <tr>
                        <td valign=""top"" style=""width:3%;"">g.</td>        
                        <td>That I will abide by all the terms and conditions specified in this offer letter </td>
                    </tr>
                    </tbody></table>
                </td>
            </tr>
        </tbody></table>
        </td>
    </tr>
</tbody></table>
<br><br><br><br>
<div style=""width:30%;float:left;font-size:14px;"">
    <strong>For AIQU, TopTalent Employment Services LLC :</strong><br><br>
    <div>
    <img src=""/home/vcap/app/htdocs/uploads/images/TASC_LabourServices/TASC-SIGNATURE.png"" alt=""TASC-SIGNATURE"" height=""50"">
    </div><br><br><br>
    <strong>Sumit Pant</strong><br>
    <strong>Vice President HR-Operations</strong>
</div>
<div style=""text-align:center;width:30%;float:left;font-size:14px;"">
    <br><br><br>
    <img src=""/home/vcap/app/htdocs/uploads/images/TASC_LabourServices/TASC-STAMP.png"" style=""height: 100px;"" alt=""TASC-STAMP"">
</div>
<div style=""width:40%;float:left;font-size:14px;"">
    <strong>Accepted and Agreed</strong><br><br><br>
    <div style=""font-size:0px;"">#sh1#</div>
    <br><br>
    <table style=""width:100%;font-family: 'TimesNewRoman';font-size:14px"">
        <tbody><tr>
            <td style=""width: 30%;"">Name </td>
            <td style=""width: 70%;"">: <strong>{FullName}</strong></td>
        </tr>
        <tr>
            <td style=""width: 30%;"">Designation</td>
            <td style=""width: 70%;"">: <strong>{PositionDescription}</strong></td>
        </tr>
        <tr>
            <td style=""width: 30%;"">Date </td>
            <td style=""width: 70%;"">: <strong>{Date}</strong></td>
        </tr>
    </tbody></table>
</div>
<br><br><br><br><br><br><br><br><br>
<!-- Footer -->
<table cellpadding=""5"" cellspacing=""0"" style=""width:100%;margin-top:20px; font-family: 'TimesNewRoman'; font-size:10px;color: rgba(0, 0, 0, 0.4);"">
    <tbody><tr>
        <td style=""width: 100%;"">
            <strong> Offer Letter – English </strong> <br>
            TASC-ECARE/SOP/ONB-OLM/FORMS/AIQU/001/F2(OLE) <br><br>
        </td>
    </tr>
    <tr>
        <td colspan=""2"" style=""background-color: #5d2a77;padding:20px; color:#fff;"">
            <table style=""width:100%; font-size:12px;color: #fff;"">
                <tbody><tr>
                    <td>
                        +971 43318444<br>
                        PO.Box.no 117495, Dubai <br>
                        AIQU is a part of top Talent Employment Services L.L.C
                    </td>
                    <td style=""text-align: center;"">
                        AIQU can help grow your business.<br><br>
                        <a href=""https://aiqusearch.com/"" style=""border-radius: 10px 10px 10px 10px;background-color:#8a4e94;padding:10px;text-align:center;display:inline-block;line-height:1;color:#fff;width:150px;margin:0 auto; text-decoration:none"">aiqusearch.com</a>
                    </td>
                </tr>
            </tbody></table>
        </td>
    </tr>
</tbody></table>","0",579,,28,172,"0","0",,
12,2023-08-10 06:30:42,1,,,";         ",Outsourced Consultant                                  ,LVL1                                                                                                                                                                                                                                                           ,Y,1,,,87,8,,"0","0","0","0",,
13,2023-08-10 06:30:42,1,,,<         ,Account Assistant                                      ,LVL1                                                                                                                                                                                                                                                           ,Y,1,,,87,8,,"0","0","0","0",,
14,2023-08-10 06:30:42,1,,,='        ,Senior System Specialist                               ,LVL1                                                                                                                                                                                                                                                           ,Y,1,,,87,8,,"0","0","0","0",,
15,2023-08-10 06:30:42,1,,,1111      ,Senior Project Management                              ,LVL1                                                                                                                                                                                                                                                           ,Y,1,,,87,8,,"0","0","0","0",,
